Title,Publication Year,DOI,Abstract,key_words,Authors
"Stability and Biotransformation of 6:2 Fluorotelomer Sulfonic Acid, Sulfonamide Amine Oxide, and Sulfonamide Alkylbetaine in Aerobic Sludge",2024,10.1021/acs.est.3c05506,"The 6:2 fluorotelomer sulfonamide (6:2 FTSAm)-based compounds signify a prominent group of per- and polyfluoroalkyl substances (PFAS) widely used in contemporary aqueous film-forming foam (AFFF) formulations. Despite their widespread presence, the biotransformation behavior of these compounds in wastewater treatment plants remains uncertain. This study investigated the biotransformation of 6:2 FTSAm-based amine oxide (6:2 FTNO), alkylbetaine (6:2 FTAB), and 6:2 fluorotelomer sulfonic acid (6:2 FTSA) in aerobic sludge over a 100-day incubation period. The biotransformation of 6:2 fluorotelomer sulfonamide alkylamine (6:2 FTAA), a primary intermediate product of 6:2 FTNO, was indirectly assessed. Their stability was ranked based on the estimated half-lives (t1/2): 6:2 FTAB (no obvious products were detected) ? 6:2 FTSA (t1/2 ¡Ö28.8 days) > 6:2 FTAA (t1/2 ¡Ö11.5 days) > 6:2 FTNO (t1/2 ¡Ö1.2 days). Seven transformation products of 6:2 FTSA and 15 products of 6:2 FTNO were identified through nontarget and suspect screening using high-resolution mass spectrometry. The transformation pathways of 6:2 FTNO and 6:2 FTSA in aerobic sludge were proposed. Interestingly, 6:2 FTSAm was hardly hydrolyzed to 6:2 FTSA and further biotransformed to perfluoroalkyl carboxylic acids (PFCAs). Furthermore, the novel pathways for the generation of perfluoroheptanoic acid (PFHpA) from 6:2 FTSA were revealed. ? 2024 American Chemical Society","Amines; Biotransformation; Fluorocarbons; Oxides; Sewage; Sulfonamides; Water Pollutants, Chemical; Bioconversion; Sulfur compounds; Wastewater treatment; aliphatic amine; amine oxide; carboxylic acid; sulfonamide; amine; fluorocarbon; fluorotelomer sulfonamidoalkyl betaines; fluorotelomer sulfonic acids; oxide; sulfonamide; 6:2 fluorotelomer sulphonamide; 6:2 fluorotelomer sulphonic acid; Aerobic sludge; Alkylbetaine; Amine oxides; Aqueous film forming foams; Aqueous film-forming foam; Biotransformation; Fluorotelomers; Per- and polyfluoroalkyl substance; Polyfluoroalkyl substances; Sulphonamides; Sulphonic acids; activated sludge; biotransformation; foam; incubation; wastewater treatment plant; aerobic sludge; Article; biodegradation; biotransformation; foam; incubation time; mass spectrometry; microbial community; microcosm; pharmacokinetics; waste water treatment plant; biotransformation; chemistry; metabolism; sewage; water pollutant; Mass spectrometry",
Heterogeneous Photodegradation Behavior of Liquid Crystal Monomers in Dust: Quantitative Structure-Activity Relationship and Product Identification,2024,10.1021/acs.est.3c04753,"The heterogeneous photodegradation behavior of liquid crystal monomers (LCMs) in standard dust (standard reference material, SRM 2583) and environmental dust was investigated. The measured photodegradation ratios for 23 LCMs in SRM and environmental dust in 12 h were 11.1 ¡À 1.8 to 23.2 ¡À 1.1% and 8.7 ¡À 0.5 to 24.0 ¡À 2.8%, respectively. The degradation behavior of different LCM compounds varied depending on their structural properties. A quantitative structure-activity relationship model for predicting the degradation ratio of LCMs in SRM dust was established, which revealed that the molecular descriptors related to molecular polarizability, electronegativity, and molecular mass were closely associated with LCMs¡¯ photodegradation. The photodegradation products of the LCM compound 4¡ä-propoxy-4-biphenylcarbonitrile (PBIPHCN) in dust, including ?OH oxidation, C-O bond cleavage, and ring-opening products, were identified by nontarget analysis, and the corresponding degradation pathways were suggested. Some of the identified products, such as 4¡ä-hydroxyethoxy-4-biphenylcarbonitrile, showed predicted toxicity (with an oral rat lethal dose of 50%) comparable to that of PBIPHCN. The half-lives of the studied LCMs in SRM dust were estimated at 32.2-82.5 h by fitting an exponential decay curve to the observed photodegradation data. The photodegradation mechanisms of LCMs in dust were revealed for the first time, enhancing the understanding of LCMs¡¯ environmental behavior and risks. ? 2024 American Chemical Society.",Animals; Dust; Liquid Crystals; Photolysis; Quantitative Structure-Activity Relationship; Rats; Chemical bonds; Computational chemistry; Crystal structure; Curve fitting; Electronegativity; Liquid crystals; Monomers; alkylphenol; ammonium sulfate; mineral; monomer; organophosphate; Environmental fate; Liquid crystal monomers; Non-target analysis; Photo degradation; Photodegradation behavior; Photodegradation ratio; Product identification; QSAR; Quantitative structure activity relationship; Standard reference material; crystal structure; dust; environmental fate; photodegradation; quantitative analysis; Article; autocorrelation; chemical structure; control system; controlled study; correlation coefficient; cross validation; dealkylation; degradation; dust; environmental impact; heliotherapy; irradiation; isotherm; kinetic parameters; LD50; lethal dose; liquid crystal; mineral dust; molecular weight; multiple linear regression analysis; nonhuman; oxidation; particulate matter; photodegradation; photolysis; physical chemistry; polarization; quantitative analysis; quantitative structure activity relation; rat; rate constant; reaction time; retention time; ring opening; risk assessment; root mean squared error; uncertainty; volume; animal; dust; quantitative structure activity relation; Dust,
Maternal and Paternal Preconception Serum Concentrations of Per and Polyfluoroalkyl Substances in Relation to Birth Outcomes,2024,10.1021/acs.est.3c07954,"Prenatal per and polyfluoroalkyl substances (PFAS) exposure is associated with adverse birth outcomes. There is an absence of evidence on the relationship between maternal and paternal preconception PFAS exposure and birth outcomes. This study included 312 mothers and 145 fathers with a singleton live birth from a preconception cohort of subfertile couples seeking fertility treatment at a U.S. clinic. PFAS were quantified in serum samples collected before conception. Gestational age (GA) and birthweight (BW) were abstracted from delivery records. We also assessed low birthweight (BW < 2500 g) and preterm birth (GA < 37 completed weeks). We utilized multivariable linear regression, logistic regression, and quantile-based g computation to examine maternal or paternal serum concentrations of individual PFAS and mixture with birth outcomes. Maternal serum concentrations of perfluorooctanesulfonate (PFOS), perfluorohexanesulfonate (PFHxS), and the total PFAS mixture were inversely associated with birthweight. Maternal PFOS concentration was associated with a higher risk of low birthweight. Conversely, paternal PFOS and PFHxS concentrations were imprecisely associated with higher birthweight. No associations were found for gestational age or preterm birth. The findings have important implications for preconception care. Future research with larger sample sizes would assist in validating these findings. ? 2024 American Chemical Society.","Alkanesulfonic Acids; Birth Weight; Environmental Pollutants; Fathers; Female; Fluorocarbons; Humans; Infant, Newborn; Male; Pregnancy; Premature Birth; Logistic regression; 2 (n methyl perfluorooctane sulfonamido)acetate; perfluoroalkanoic acid; perfluorodecanoic acid; perfluorohexanesulfonic acid; perfluoromethylheptanesulfonate; perfluorononanoic acid; perfluorooctanesulfonic acid; perfluorooctanoic acid; perfluoroundecanoic acid; unclassified drug; alkanesulfonic acid; fluorocarbon; Birthweight; Gestational age; Paternal; Perfluorooctane sulfonates; Polyfluoroalkyl substances; Preconception; Preterm birth; Serum concentration; Serum samples; Singleton; age; fertility; health risk; pregnancy; serum; adult; Article; birth weight; blood level; controlled study; female; gestational age; human; infant; infertility therapy; low birth weight; major clinical study; male; pregnancy outcome; premature labor; prospective study; subfertility; United States; father; newborn; pollutant; pregnancy; prematurity; Multiple linear regression",
Comprehensive Characterization of Organic Light-Emitting Materials in Breast Milk by Target and Suspect Screening,2024,10.1021/acs.est.3c08961,"Organic light-emitting materials (OLEMs) are emerging contaminants in the environment and have been detected in various environment samples. However, limited information is available regarding their contamination within the human body. Here, we developed a novel QuEChERS (quick, easy, cheap, effective, rugged, and safe) method coupled with triple quadrupole/high-resolution mass spectrometry to determine OLEMs in breast milk samples, employing both target and suspect screening strategies. Our analysis uncovered the presence of seven out of the 39 targeted OLEMs in breast milk samples, comprising five liquid crystal monomers and two OLEMs commonly used in organic light-emitting diode displays. The cumulative concentrations of the seven OLEMs in each breast milk sample ranged from ND to 1.67 ¡Á 103 ng/g lipid weight, with a mean and median concentration of 78.76 and 0.71 ng/g lipid weight, respectively, which were higher compared to that of typical organic pollutants such as polychlorinated biphenyls and polybrominated diphenyl ethers. We calculated the estimated daily intake (EDI) rates of OLEMs for infants aged 0-12 months, and the mean EDI rates during lactation were estimated to range from 30.37 to 54.89 ng/kg bw/day. Employing a suspect screening approach, we additionally identified 66 potential OLEMs, and two of them, cholesteryl hydrogen phthalate and cholesteryl benzoate, were further confirmed using pure reference standards. These two substances belong to cholesteric liquid crystal materials and raise concerns about potential endocrine-disrupting effects, as indicated by in silico predictive models. Overall, our present study established a robust method for the identification of OLEMs in breast milk samples, shedding light on their presence in the human body. These findings indicate human exposure to OLEMs that should be further investigated, including their health risks. ? 2024 American Chemical Society.","Environmental Pollutants; Female; Humans; Infant; Lipids; Mass Spectrometry; Milk, Human; Polychlorinated Biphenyls; Cholesteric liquid crystals; Mass spectrometry; Organic light emitting diodes (OLED); Organic pollutants; Polychlorinated biphenyls; Screening; benzoic acid; hydrogen; lipid; monomer; polybrominated diphenyl ether; polychlorinated biphenyl; polychlorinated biphenyl; Breast milk; Breast milk samples; Emerging contaminant; Estimated daily intakes; High resolution mass spectrometry; Human bodies; Intake rate; Liquid crystal materials; Organic light-emitting materials; Target and suspect screening; crystal structure; hydrogen; lactation; lipid; mass spectrometry; milk; phthalate; pollutant source; Article; breast milk; computer model; concentration (parameter); controlled study; estimated daily intake; human; lactation; liquid crystal; mass spectrometry; predictive model; standard; weight; breast milk; chemistry; female; infant; pollutant; Health risks",
Remarkable Contamination of Short- and Medium-Chain Chlorinated Paraffins in Free-Range Chicken Eggs from Rural Tibetan Plateau,2024,10.1021/acs.est.3c08815,"Rapid social-economic development introduces modern lifestyles into rural areas, not only bringing numerous modern products but also new pollutants, such as chlorinated paraffins (CPs). The rural Tibetan Plateau has limited industrial activities and is a unique place to investigate this issue. Herein we collected 90 free-range chicken egg pool samples across the rural Tibetan Plateau to evaluate the pollution status of CPs. Meanwhile, CPs in related soils, free-range chicken eggs from Jiangxi, and farmed eggs from markets were also analyzed. The median concentrations of SCCPs (159 ng g-1 wet weight (ww)) and MCCPs (1390 ng g-1 ww) in Tibetan free-range chicken eggs were comparable to those from Jiangxi (259 and 938 ng g-1 ww) and significantly higher than those in farmed eggs (22.0 and 81.7 ng g-1 ww). In the rural Tibetan Plateau, the median EDI of CPs via egg consumption by adults and children were estimated to be 81.6 and 220.2 ng kg-1 bw day-1 for SCCPs and 483.4 and 1291 ng kg-1 bw day-1 for MCCPs, respectively. MCCPs might pose potential health risks for both adults and children in the worst scenario. Our study demonstrates that new pollutants should not be ignored and need further attention in remote rural areas. ? 2024 American Chemical Society.","Animals; Chickens; Child; China; Environmental Monitoring; Environmental Pollutants; Humans; Hydrocarbons, Chlorinated; Paraffin; Tibet; China; Jiangxi; Qinghai-Xizang Plateau; Animals; Health risks; Paraffins; Risk perception; paraffin; chlorinated hydrocarbon; paraffin; Chicken eggs; Chlorinated paraffins; Egg; Jiangxi; Medium-chain chlorinated paraffins; New pollutant; Rural tibetan plateau; Short-chain chlorinated paraffins; Tibetan Plateau; Wet weight; egg; egg production; health risk; lifestyle; pollution effect; rural area; adult; Article; atmospheric transport; body weight; child; chlorination; concentration (parameter); controlled study; economic development; egg; estimated daily intake; food contamination; food safety; Gallus gallus; gross national product; health hazard; human; human impact (environment); Monte Carlo method; no-observed-adverse-effect level; nonhuman; persistent organic pollutant; pollution; risk assessment; rural area; Tibet; animal; China; environmental monitoring; Gallus gallus; pollutant; Tibet; Rural areas",
"Concentrations of 45 Per- and Polyfluoroalkyl Substances in North American River Otters (Lontra canadensis) from West Virginia, USA",2024,10.1021/acs.est.3c09467,"North American river otters (Lontra canadensis) are top predators in riverine ecosystems and are vulnerable to per- and polyfluoroalkyl substance (PFAS) exposure. Little is known about the magnitude of exposure and tissue distribution of PFAS in river otters. We measured 45 PFAS in various tissues of 42 river otters collected from several watersheds in the state of West Virginia, USA. The median concentrations of ¡ÆAll (sum concentration of 45 PFAS) varied among tissues in the following decreasing order: liver (931 ng/g wet weight) > bile > pancreas > lung > kidney > blood > brain > muscle. Perfluoroalkylsulfonates (PFSAs) were the predominant compounds accounting for 58-75% of the total concentrations, followed by perfluoroalkyl carboxylates (PFCAs; 21-35%). 8:2 fluorotelomer sulfonate (8:2 FTS), 10:2 FTS, and 6:2 chlorinated polyfluoroalkyl ether sulfonate were frequently found in the liver (50-90%) and bile (96-100%), whereas hexafluoropropylene oxide dimer acid (HFPO-DA) was rarely found. The hepatic concentrations of ¡ÆAll in river otters collected downstream of a fluoropolymer production facility located along the Ohio River were 2-fold higher than those in other watersheds. The median whole body burden of ¡ÆAll was calculated to be 1580 ¦Ìg. PFOS and perfluorooctanoic acid (PFOA) concentrations in whole blood of some river otters exceeded the human toxicity reference values, which warrant further studies. ? 2024 American Chemical Society.","Animals; Ecosystem; Fluorocarbons; Humans; Liver; Otters; Water Pollutants, Chemical; West Virginia; Ohio River; United States; West Virginia; Blood; Carboxylation; Histology; Rivers; Tissue; carbon; functional group; perfluoro compound; perfluorooctanesulfonic acid; perfluorooctanoic acid; fluorocarbon; Body burden; Lontra canadensis; North American; Per- and polyfluoroalkyl substance; Polyfluoroalkyl substances; River otter; Sulphonates; Time trends; Tissue distributions; West Virginia; blood; brain; concentration (composition); mammal; muscle; oxide group; sulfonate; toxicity; animal experiment; animal model; animal tissue; Article; bile; biological monitoring; body burden; geographic distribution; immunotoxicity; liver; Lontra canadensis; metabolic disorder; nonhuman; North American; Ohio; persistent organic pollutant; predator; reference value; river; tissue distribution; United States; watershed; West Virginia; animal; ecosystem; human; otter; water pollutant; Watersheds",
Novel Defluorination Pathways of Perfluoroether Compounds (GenX): ¦Á-Fe2O3 Nanoparticle Layer Retains Higher Concentrations of Effective Hydrated Electrons,2024,10.1021/acs.est.3c09879,"The development of efficient defluorination technology is an important issue because the kind of emerging pollutant of hexafluoropropylene oxide dimer acid (GenX) as an alternative to perfluorooctanoic acid (PFOA) has the higher environmental risks. In the UV/bisulfite system, we first developed a hydrophobic confined ¦Á-Fe2O3 nanoparticle layer rich in oxygen vacancies, which accelerated the enrichment of HSO3- and GenX on the surface and pores through electrostatic attraction and hydrophobic interaction, retaining more hydrated electrons (eaq-) and rapidly destroying GenX under UV excitation. Especially, under anaerobic and aerobic conditions, the degradation percentage of GenX obtain nearly 100%, defluorination of GenX to 88 and 57% respectively. It was amazed to find that the three parallel H/F exchange pathways triggered by the rapid reactions of eaq- and GenX, which were unique to anaerobic conditions, improved the efficiency of fluoride removal and weaken the interference of dissolved oxygen and H+. Therefore, this study provided an available material and mechanism for sustainable fluoride removal from wastewater in aerobic and anaerobic conditions. ? 2024 American Chemical Society.",Environmental technology; Fluorine compounds; Hematite; Hydration; Hydrophobicity; Nanoparticles; bisulfite; dimer; dissolved oxygen; fluoride; nanoparticle; oxygen; perfluorooctanoic acid; Anaerobic conditions; Defluorination; Defluorination mechanism; Degradation pathways; Fluoride removal; Genx; Hydrated electron; Hydrophobic confinement; Hydrophobic confinement structure; Nanoparticle layers; anoxic conditions; degradation; electron; fluoride; fluorine; iron oxide; nanoparticle; oxic conditions; oxygen; pollutant removal; polymer; wastewater; article; controlled study; defluorination; degradation; electron; environmental risk; excitation; signal transduction; ultraviolet radiation; Dissolved oxygen,
Perfluorooctanesulfonic Acid Alters the Plant¡¯s Phosphate Transport Gene Network and Exhibits Antagonistic Effects on the Phosphate Uptake,2024,10.1021/acs.est.3c10930,"Per- and polyfluoroalkyl substances (PFASs), with significant health risks to humans and wildlife, bioaccumulate in plants. However, the mechanisms underlying plant uptake remain poorly understood. This study deployed transcriptomic analysis coupled with genetic and physiological studies using Arabidopsis to investigate how plants respond to perfluorooctanesulfonic acid (PFOS), a long-chain PFAS. We observed increased expressions of genes involved in plant uptake and transport of phosphorus, an essential plant nutrient, suggesting intertwined uptake and transport processes of phosphorus and PFOS. Furthermore, PFOS-altered response differed from the phosphorus deficiency response, disrupting phosphorus metabolism to increase phosphate transporter (PHT) transcript. Interestingly, pht1;2 and pht1;8 mutants showed reduced sensitivity to PFOS compared to that of the wild type, implying an important role of phosphate transporters in PFOS sensing. Furthermore, PFOS accumulated less in the shoots of the pht1;8 mutant, indicating the involvement of PHT1;8 protein in translocating PFOS from roots to shoots. Supplementing phosphate improved plant¡¯s tolerance to PFOS and reduced PFOS uptake, suggesting that manipulating the phosphate source in PFOS-contaminated soils may be a promising strategy for minimizing PFOS uptake by edible crops or promoting PFOS uptake during phytoremediation. This study highlighted the critical role of phosphate sensing and transport system in the uptake and translocation of PFOS in plants. ? 2024 American Chemical Society.",Bioremediation; Health risks; Soil pollution; perfluorooctanesulfonic acid; phosphate; phosphate transporter; phosphorus; Gene networks; Perfluorooctanesulphonic acid; Phosphate deficiency; Phosphate transport; Phosphate transporters; Phytoremediation; Plant uptake; Polyfluoroalkyl substances; Transcriptomic analyse; Transcriptomics; antagonistic effect; Arabidopsis; article; controlled study; gene regulatory network; health hazard; human; nonhuman; phosphate deficiency; phosphate metabolism; phosphate transport; phytoremediation; plant nutrient; shoot; wild type; Genes,
PFASs in Cerebrospinal Fluids and Blood-CSF Barrier Permeability in Patients with Cognitive Impairment,2024,10.1021/acs.est.3c10511,"Attention has been drawn to the associations between PFASs and human cognitive decline. However, knowledge on the occurrence and permeability of PFASs in the brains of patients with cognitive impairment has not been reported. Here, we determined 30 PFASs in paired sera and cerebrospinal fluids (CSFs) from patients with cognitive impairment (n = 41) and controls without cognitive decline (n = 18). We revealed similar serum PFAS levels but different CSF PFAS levels, with lower CSF PFOA (median: 0.125 vs 0.303 ng/mL, p < 0.05), yet higher CSF PFOS (0.100 vs 0.052 ng/mL, p < 0.05) in patients than in controls. Blood-brain transfer rates also showed lower RCSF/Serum values for PFOA and higher RCSF/Serum values for PFOS in patients, implying potential heterogeneous associations with cognitive function. The RCSF/Serum values for C4-C14 perfluoroalkyl carboxylates exhibited a U-shape trend with increasing chain length. Logistic regression analyses demonstrated that CSF PFOS levels were linked to the heightened risk of cognitive impairment [odds ratio: 3.22 (1.18-11.8)] but not for serum PFOS. Toxicity inference results based on the Comparative Toxicogenomics Database suggested that PFOS in CSF may have a greater potential to impair human cognition than other PFASs. Our results contribute to a better understanding of brain PFAS exposure and its potential impact on cognitive function. ? 2024 American Chemical Society.","Alkanesulfonic Acids; Carboxylic Acids; Cognitive Dysfunction; Environmental Pollutants; Fluorocarbons; Humans; Permeability; Blood; Carboxylation; Cerebrospinal fluid; Regression analysis; 6:2 chlorinated polyfluorinated ether sulfonate; 6:2 fluorotelomer sulfonate; 8:2 fluorotelomer acid; 8:2 fluorotelomer sulfonate; 8:2 polyfluoroalkyl phosphate diester; alkyl group; carboxylic acid; dodecafluoro 3h 4,8 dioxanonanoate; fluorine derivative; hexafluoropropylene oxide dimer acid; n ethylperfluorooctane sulfonamide; n ethylperfluorooctane sulfonamidoacetate; n methylperfluorooctane sulfonamide; n methylperfluorooctane sulfonamidoacetate; organophosphate; perfluoroalkanoic acid; perfluorobutanesulfonic acid; perfluorobutanoic acid; perfluorodecanesulfonic acid; perfluorodecanoic acid; perfluorododecanoic acid; perfluoroheptanesulfonic acid; perfluoroheptanoic acid; perfluorohexadecanoic acid; perfluorohexanesulfonic acid; perfluorohexanoic acid; perfluorononanoic acid; perfluorooctadecanoic acid; perfluorooctanesulfonic acid; perfluoropentanoic acid; perfluorotetradecanoic acid; perfluorotridecanoic acid; perfluoroundecanoic acid; unclassified drug; alkanesulfonic acid; carboxylic acid; fluorocarbon; Blood-cerebrospinal fluid-barrier; Cognitive decline; Cognitive functions; Cognitive impairment; In-control; Lowest R; PFAS; PFOS; Transfer rates; U shape; body fluid; brain; cognition; health impact; health risk; serum; adult; alcohol consumption; Article; bioaccumulation; blood cerebrospinal fluid barrier; blood level; cerebrospinal fluid; cognition; cognitive defect; controlled study; environmental exposure; female; human; hypertension; learning disorder; limit of detection; male; memory disorder; mental disease; middle aged; neurotoxicity; cognitive defect; permeability; pollutant; Brain",
Changes in Concentrations of Polyfluoroalkyl Substances in Human Milk Over Lactation Time and Effects of Maternal Exposure via Analysis of Matched Samples,2024,10.1021/acs.est.3c09896,"Perfluoroalkyl and polyfluoroalkyl substances (PFAS) are potentially related to many adverse health outcomes and could be transferred from maternal blood to human milk, which is an important exposure source for infants during a long-term period. In this study, the maternal blood of 76 women after delivery and their matched human milk samples obtained at 0.5, 1, and 3 months were analyzed by solid-phase extraction method with metal?organic framework/polymer hybrid nanofibers as the sorbents and ultrahigh-performance liquid chromatography-negative electrospray ionization mass spectrometric for quantitative analysis of 31 PFAS. The perfluorooctanoic acid, perfluorooctane sulfonate, and N-methyl perfluorooctane sulfonamido acetic acid (N-MeFOSAA) contributed to more than approximately 50% of the total PFAS concentrations in blood and human milk, while N-MeFOSAA (median: 0.274 ng/mL) was the highest PFAS in human milk at 3 months. The transfer efficiencies for PFAS from maternal blood to human milk at 0.5 months were generally lower, with medians ranging from 0.20% to 16.9%. The number of PFAS species detected in human milk increased as the lactation time went on from 0.5 to 3 months, and the concentrations of 10 PFAS displayed an increasing trend as the prolongation of lactation time (p < 0.05). ? 2024 American Chemical Society.","Alkanesulfonic Acids; Environmental Pollutants; Female; Fluorocarbons; Humans; Infant; Lactation; Maternal Exposure; Milk, Human; Sulfonamides; Blood; Electrospray ionization; Liquid chromatography; Mass spectrometry; Phase separation; acetic acid; alkyl group; nanofiber; perfluorooctane; perfluorooctanesulfonic acid; perfluorooctanoic acid; 2-(N-methylperfluorooctanesulfonamido)acetic acid; alkanesulfonic acid; fluorocarbon; sulfonamide; Exposure sources; Health outcomes; Human milk; Lactation period; Long-term period; Maternal bloods; Maternal exposure; Perfluoroalkyl substances; Polyfluoroalkyl substances; Precursor; blood system disorder; chemical substance; concentration (composition); extraction method; lactation; maternal health; milk; pollution exposure; quantitative analysis; Article; breast milk; concentration (parameter); controlled study; female; human; infant; lactation; mass spectrometry; maternal blood; maternal exposure; quantitative analysis; solid phase extraction; time; ultra performance liquid chromatography; breast milk; chemistry; lactation; maternal exposure; pollutant; Extraction",
