Publication Year,1_Analytical_Methods,2_Environmenta_Exposure,3_Environmental_Behavior,4_Biological_Behavior,5_Toxicity,6_Health Risk
2000,7.0,,1.0,,1.0,8.0
2001,8.0,3.0,2.0,,,2.0
2002,15.0,1.0,4.0,,,3.0
2003,13.0,2.0,2.0,,1.0,3.0
2004,17.0,1.0,1.0,,1.0,9.0
2005,7.0,1.0,1.0,2.0,2.0,8.0
2006,18.0,5.0,1.0,,1.0,7.0
2007,17.0,,3.0,1.0,2.0,4.0
2008,19.0,1.0,9.0,2.0,5.0,8.0
2009,16.0,3.0,6.0,5.0,2.0,7.0
2010,15.0,3.0,4.0,3.0,5.0,5.0
2011,28.0,4.0,5.0,2.0,5.0,7.0
2012,18.0,7.0,1.0,8.0,5.0,12.0
2013,21.0,1.0,7.0,6.0,6.0,7.0
2014,28.0,4.0,8.0,7.0,11.0,8.0
2015,27.0,11.0,10.0,11.0,14.0,8.0
2016,24.0,10.0,9.0,15.0,17.0,10.0
2017,29.0,13.0,12.0,19.0,17.0,13.0
2018,38.0,19.0,17.0,21.0,14.0,12.0
2019,31.0,25.0,16.0,19.0,20.0,9.0
2020,28.0,22.0,15.0,23.0,22.0,6.0
2021,44.0,32.0,26.0,31.0,17.0,21.0
2022,28.0,20.0,23.0,15.0,18.0,13.0
2023,28.0,12.0,16.0,9.0,10.0,8.0
2024,6.0,1.0,2.0,2.0,5.0,3.0
